corr_values;ROI_hemi_condition;ROI;hemi;condition;ID
0,032128353;liLOC_RLO-I;iLOC;l;R_LOI;20
0,239882592;liLOC_RLO-I;iLOC;l;R_LOI;21
0,06888907;liLOC_RLO-I;iLOC;l;R_LOI;22
-0,802860264;liLOC_RLO-I;iLOC;l;R_LOI;23
0,25024451;liLOC_RLO-I;iLOC;l;R_LOI;24
0,415333248;liLOC_RLO-I;iLOC;l;R_LOI;25
-0,039131743;liLOC_RLO-I;iLOC;l;R_LOI;26
0,914045103;liLOC_RLO-I;iLOC;l;R_LOI;27
-0,267429398;liLOC_RLO-I;iLOC;l;R_LOI;28
NA;liLOC_RLO-I;iLOC;l;R_LOI;29
0,303597118;liLOC_RLO-I;iLOC;l;R_LOI;30
-0,062293117;liLOC_RLO-I;iLOC;l;R_LOI;31
0,194009114;liLOC_RLO-I;iLOC;l;R_LOI;32
0,160938218;rpFusG_RLO-I;pFusG;r;R_LOI;1
0,28502511;rpFusG_RLO-I;pFusG;r;R_LOI;2
0,007282875;rpFusG_RLO-I;pFusG;r;R_LOI;3
0,009243302;rpFusG_RLO-I;pFusG;r;R_LOI;4
0,090584372;rpFusG_RLO-I;pFusG;r;R_LOI;5
0,261549751;rpFusG_RLO-I;pFusG;r;R_LOI;6
-0,037121556;rpFusG_RLO-I;pFusG;r;R_LOI;7
-0,022655889;rpFusG_RLO-I;pFusG;r;R_LOI;8
-0,171785812;rpFusG_RLO-I;pFusG;r;R_LOI;9
0,047088925;rpFusG_RLO-I;pFusG;r;R_LOI;10
0,238585029;rpFusG_RLO-I;pFusG;r;R_LOI;11
0,080323026;rpFusG_RLO-I;pFusG;r;R_LOI;12
0,180387959;rpFusG_RLO-I;pFusG;r;R_LOI;13
0,086811709;rpFusG_RLO-I;pFusG;r;R_LOI;14
0,312819788;rpFusG_RLO-I;pFusG;r;R_LOI;15
0,151085993;rpFusG_RLO-I;pFusG;r;R_LOI;16
-0,05040336;rpFusG_RLO-I;pFusG;r;R_LOI;17
0,533183897;rpFusG_RLO-I;pFusG;r;R_LOI;18
-0,007655935;rpFusG_RLO-I;pFusG;r;R_LOI;19
-0,330794499;rpFusG_RLO-I;pFusG;r;R_LOI;20
0,101175498;rpFusG_RLO-I;pFusG;r;R_LOI;21
0,297844464;rpFusG_RLO-I;pFusG;r;R_LOI;22
-0,744403577;rpFusG_RLO-I;pFusG;r;R_LOI;23
0,207515244;rpFusG_RLO-I;pFusG;r;R_LOI;24
0,310746453;rpFusG_RLO-I;pFusG;r;R_LOI;25
-0,077827216;rpFusG_RLO-I;pFusG;r;R_LOI;26
0,731065591;rpFusG_RLO-I;pFusG;r;R_LOI;27
-0,367233035;rpFusG_RLO-I;pFusG;r;R_LOI;28
NA;rpFusG_RLO-I;pFusG;r;R_LOI;29
0,214949737;rpFusG_RLO-I;pFusG;r;R_LOI;30
0,115792862;rpFusG_RLO-I;pFusG;r;R_LOI;31
0,098272259;rpFusG_RLO-I;pFusG;r;R_LOI;32
0,105660798;lpFusG _nR;pFusG;l;nR;1
-0,101730556;lpFusG _nR;pFusG;l;nR;2
-0,199974429;lpFusG _nR;pFusG;l;nR;3
-0,144573436;lpFusG _nR;pFusG;l;nR;4
-0,119343204;lpFusG _nR;pFusG;l;nR;5
-0,07665492;lpFusG _nR;pFusG;l;nR;6
0,004049421;lpFusG _nR;pFusG;l;nR;7
0,188635431;lpFusG _nR;pFusG;l;nR;8
0,017252439;lpFusG _nR;pFusG;l;nR;9
-0,032750236;lpFusG _nR;pFusG;l;nR;10
0,026673437;lpFusG _nR;pFusG;l;nR;11
0,23196411;lpFusG _nR;pFusG;l;nR;12
-0,056779379;lpFusG _nR;pFusG;l;nR;13
-0,039715357;lpFusG _nR;pFusG;l;nR;14
0,175765746;lpFusG _nR;pFusG;l;nR;15
-0,076263279;lpFusG _nR;pFusG;l;nR;16
0,168187535;lpFusG _nR;pFusG;l;nR;17
0,10913185;lpFusG _nR;pFusG;l;nR;18
0,297996354;lpFusG _nR;pFusG;l;nR;19
-0,18132561;lpFusG _nR;pFusG;l;nR;20
0,085563339;lpFusG _nR;pFusG;l;nR;21
0,345931332;lpFusG _nR;pFusG;l;nR;22
0,149315874;lpFusG _nR;pFusG;l;nR;23
0,077088603;lpFusG _nR;pFusG;l;nR;24
0,039292664;lpFusG _nR;pFusG;l;nR;25
0,324031546;lpFusG _nR;pFusG;l;nR;26
0,11324281;lpFusG _nR;pFusG;l;nR;27
0,227770667;lpFusG _nR;pFusG;l;nR;28
NA;lpFusG _nR;pFusG;l;nR;29
-0,056369834;lpFusG _nR;pFusG;l;nR;30
0,149086064;lpFusG _nR;pFusG;l;nR;31
-0,065255508;lpFusG _nR;pFusG;l;nR;32
0,443724267;riLOC_nR;iLOC;r;nR;1
0,014717759;riLOC_nR;iLOC;r;nR;2
-0,153314015;riLOC_nR;iLOC;r;nR;3
0,007300081;riLOC_nR;iLOC;r;nR;4
-0,098192038;riLOC_nR;iLOC;r;nR;5
0,233309151;riLOC_nR;iLOC;r;nR;6
0,000806352;riLOC_nR;iLOC;r;nR;7
0,06562914;riLOC_nR;iLOC;r;nR;8
0,07040587;riLOC_nR;iLOC;r;nR;9
-0,086943248;riLOC_nR;iLOC;r;nR;10
0,16294449;riLOC_nR;iLOC;r;nR;11
0,262288317;riLOC_nR;iLOC;r;nR;12
0,046011263;riLOC_nR;iLOC;r;nR;13
-0,017493453;riLOC_nR;iLOC;r;nR;14
0,183105586;riLOC_nR;iLOC;r;nR;15
0,084750233;riLOC_nR;iLOC;r;nR;16
0,150228374;riLOC_nR;iLOC;r;nR;17
0,216053218;riLOC_nR;iLOC;r;nR;18
0,382455779;riLOC_nR;iLOC;r;nR;19
0,166311749;riLOC_nR;iLOC;r;nR;20
0,158236938;riLOC_nR;iLOC;r;nR;21
0,67358547;riLOC_nR;iLOC;r;nR;22
0,13341355;riLOC_nR;iLOC;r;nR;23
0,302577097;riLOC_nR;iLOC;r;nR;24
0,07273542;riLOC_nR;iLOC;r;nR;25
0,369819097;riLOC_nR;iLOC;r;nR;26
0,051262931;riLOC_nR;iLOC;r;nR;27
0,362100476;riLOC_nR;iLOC;r;nR;28
NA;riLOC_nR;iLOC;r;nR;29
0,080889443;riLOC_nR;iLOC;r;nR;30
0,227336081;riLOC_nR;iLOC;r;nR;31
0,126185397;;iLOC;r;nR;32
0,500079629;liLOC_nR;iLOC;l;nR;1
0,079469737;liLOC_nR;iLOC;l;nR;2
-0,149692293;liLOC_nR;iLOC;l;nR;3
-0,05928331;liLOC_nR;iLOC;l;nR;4
-0,115575176;liLOC_nR;iLOC;l;nR;5
0,278069406;liLOC_nR;iLOC;l;nR;6
-0,063021167;liLOC_nR;iLOC;l;nR;7
0,124604577;liLOC_nR;iLOC;l;nR;8
-0,003461527;liLOC_nR;iLOC;l;nR;9
-0,102154769;liLOC_nR;iLOC;l;nR;10
0,097940593;liLOC_nR;iLOC;l;nR;11
0,215521794;liLOC_nR;iLOC;l;nR;12
-0,038304972;liLOC_nR;iLOC;l;nR;13
0,034503663;liLOC_nR;iLOC;l;nR;14
0,289333492;liLOC_nR;iLOC;l;nR;15
0,03899563;liLOC_nR;iLOC;l;nR;16
0,164368478;liLOC_nR;iLOC;l;nR;17
0,184740946;liLOC_nR;iLOC;l;nR;18
0,378010124;liLOC_nR;iLOC;l;nR;19
0,026420442;liLOC_nR;iLOC;l;nR;20
0,109834332;liLOC_nR;iLOC;l;nR;21
0,362218764;liLOC_nR;iLOC;l;nR;22
0,011772802;liLOC_nR;iLOC;l;nR;23
0,143392492;liLOC_nR;iLOC;l;nR;24
0,180872733;liLOC_nR;iLOC;l;nR;25
0,389063424;liLOC_nR;iLOC;l;nR;26
0,114518209;liLOC_nR;iLOC;l;nR;27
0,451941575;liLOC_nR;iLOC;l;nR;28
NA;liLOC_nR;iLOC;l;nR;29
0,061261033;liLOC_nR;iLOC;l;nR;30
0,223116559;liLOC_nR;iLOC;l;nR;31
0,012525334;liLOC_nR;iLOC;l;nR;32
0,091366132;rpFusG_nR;pFusG;r;nR;1
-0,118975109;rpFusG_nR;pFusG;r;nR;2
-0,226205719;rpFusG_nR;pFusG;r;nR;3
-0,088846226;rpFusG_nR;pFusG;r;nR;4
0,015211412;rpFusG_nR;pFusG;r;nR;5
0,120552777;rpFusG_nR;pFusG;r;nR;6
0,044416471;rpFusG_nR;pFusG;r;nR;7
0,168880338;rpFusG_nR;pFusG;r;nR;8
0,051784395;rpFusG_nR;pFusG;r;nR;9
-0,102295887;rpFusG_nR;pFusG;r;nR;10
0,113334758;rpFusG_nR;pFusG;r;nR;11
0,278852286;rpFusG_nR;pFusG;r;nR;12
