ID,vis_noRem_1,vis_RemnoI_1,vis_RemI_1,verb_cov_1,GV1,vis_noRem_2,vis_RemnoI_2,vis_RemI_2,verb_cov_2,GV2,vis_noRem_3,vis_RemnoI_3,vis_RemI_3,verb_cov_3,GV3,vis_noRem_4,vis_RemnoI_4,vis_RemI_4,verb_cov_4,GV4
sub-34,0.0676191013414557,0.309918394132731,0.0988395200486402,-0.178336760316559,-0.00740352239954233,0.136661345663543,0.377816821558744,0.35402809948572,0.0656486895163964,0.0307541588104106,0.17100931481412,-1.34769861139862e-13,0.2269821361445,0.0646859630188358,-0.00791282734075847,0.125679307500187,0.12701257498367,0.106953560352452,0.075509622299154,-0.0200482094188828
sub-35,-0.141550423466878,0.193186443703172,0.0889216278293208,-0.0715828313407067,-0.0408423095127729,0.132500603184177,0.0410561127159953,-0.181499590821487,-0.0513937535566275,-0.014072895062299,-0.116397772827814,0.173728281213579,-0.0553113120959083,-0.0631556233116396,-0.00847512115813379,0.355763103796029,-0.184710558177343,0.13441039324595,0.113375336593083,-0.0172645974287595
sub-37,0.156045608364143,9.44674143455943e-13,0.42484927425372,-0.108391576319327,0.0104827298243782,0.265155007773351,-0.119666809430447,0.188957426212756,0.0544304255337908,-0.0227581840480347,0.155912479720704,0.17863904507605,0.334918504357859,0.0816950425385392,-0.0166904880151277,-0.0577807032392787,-0.326691557243809,-0.168916262343274,0.0419726842800031,-0.00429864981395565
sub-38,-0.0693168653225338,-0.116144457761007,0.0898813367563382,-0.119181822873114,-0.0208542651077468,0.190571651325825,0.332291642724663,0.165438154213882,0.0685376347539544,-0.022621726226076,0.145695505094781,0.177468803459938,0.152295007324816,-0.128198434094344,-0.0248602427096078,0.141638799285026,3.0883548353868e-14,-0.0647927511595029,-0.0941691684687899,-0.0136423156653231
sub-40,0.273921983423557,0.196248924691685,0.406497058545988,-0.126974705573912,-0.0213179104316178,0.277070197051467,0.203893389151483,0.334935091369965,-0.127691385074248,-0.0314159578666634,0.262758866410833,0.205881051333501,-0.0506738253339558,-0.129517358785044,-0.0292425709696407,0.152876798974335,0.132943435174782,0.177962621355689,-0.0891194731254564,-0.0211914252360487
sub-41,0.112921745967866,0.342325400383736,0.10162253483965,0.0560745918504222,0.00743240031047402,0.439271717935914,-0.172766964895667,0.260891369956119,-0.0662892109514251,0.0146923542993044,-0.0354023491761014,-0.255958016868213,0.248608600687825,-0.113832368541119,0.020498385513904,0.170442535522795,0.212289109764289,0.422691736975442,0.102343042300504,0.00727711267931041
sub-42,-0.0877833906721831,-0.0469843396050063,0.223583901114385,0.0921260581231522,-0.0159674228093349,0.131678207615189,0.23310489792645,0.154863803853161,0.161319652830523,-0.0187432050737839,0.168042710473554,0.484346262817676,0.399943398899908,0.23217929514214,0.02562817759952,0.0349639253843667,0.235490502960616,0.176451996635804,-0.203690657779307,0.00614080537204721
sub-44,0.282199396139981,-0.0667859574404957,0.188974065735038,0.0733322961595313,-0.0259139454370353,-0.123199879063995,-0.163518724233194,-0.141808800423344,0.243533641345125,0.0481792195434414,-0.044022631296224,-0.0968237298867068,0.207903595389488,-0.125184639546576,-0.0343180153959891,0.34360249147603,-1.77540772950922e-13,-0.0446875951272714,-0.151580407573031,-0.0379872005630713
sub-46,0.0568363851896608,0.0512209729644088,0.136929052057339,0.0723381562034778,-0.0142706988657974,0.140438768894494,0.22427517346843,0.172055508640719,-0.104377525052622,-0.013733307452054,0.130240133918902,0.167032723732381,0.0737314395581984,-0.0559392900471718,-0.0112879915641455,-0.0879590962166201,0.157977063660744,-0.0592686498670219,-0.111091656507925,-0.00681977111103779
sub-47,0.0473668669749932,0.238614685944767,0.237245573545135,0.228798335258733,-0.0268315290209427,0.185666222367143,0.462514227667517,0.232010270879942,0.143230714971555,-0.0275474668636897,0.149326618193303,-0.146212234837776,0.172659995163623,0.17361739225203,-0.0301283067680466,0.132085821857526,0.341993309761132,0.268316682629107,0.098186559093337,0.0213908737810907
sub-48,-0.141244968839726,0.186142349664827,0.218286392196724,0.0496452376164219,-0.0134023652610331,0.160649050675601,0.126090885904795,0.14565142638713,0.0595869363155885,-0.00602053439275933,0.294406051662236,0.338457588886494,0.227463099563619,-0.0658134035587512,-0.0155343455766519,0.303320550747296,-0.10931518998798,0.128792238066422,0.0391786591047165,-0.0307733466291458
